source_name,publisher,publication_date,source_type,url,reliability_level,data_used,notes
Resolution 29/2021/QH15 on medium-term public investment plan 2021-2025,Cong Bao / National Assembly,2021-07-28,Official legal document,https://congbao.chinhphu.vn/van-ban/nghi-quyet-so-29-2021-qh15-34172/36574.htm,Tier 1,"Date, institution, policy name, infrastructure/public investment relevance",Official source.
Resolution 43/2022/QH15 on fiscal and monetary support for recovery,Cong Bao / National Assembly,2022-01-11,Official legal document,https://congbao.chinhphu.vn/van-ban/nghi-quyet-so-43-2022-qh15-36718.htm,Tier 1,"Date, institution, policy name, recovery and investment context",Official source.
Decree 65/2022/ND-CP on private corporate bonds,Cong Bao / Government of Vietnam,2022-09-16,Official legal document,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-65-2022-nd-cp-37910.htm,Tier 1,"Date, institution, policy name, corporate bond regulation",Official source.
Decision 1435/QD-TTg on Prime Minister working group for real estate project bottlenecks,Government Portal,2022-11-17,Official decision page,https://chinhphu.vn/?classid=0&docid=206882&pageid=27160,Tier 1,"Date, institution, policy name, legal bottleneck purpose",Official source.
Decree 08/2023/ND-CP on corporate bonds,Cong Bao / Government of Vietnam,2023-03-05,Official legal document,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-08-2023-nd-cp-39077.htm,Tier 1,"Date, institution, policy name, corporate bond amendment and suspension rules",Official source.
Resolution 33/NQ-CP on real estate market solutions,Cong Bao / Government of Vietnam,2023-03-11,Official legal document,https://congbao.chinhphu.vn/detail/tai-ve?id=39101&slug=33-nq-cp,Tier 1,"Date, institution, policy name, project bottleneck and market support direction",Official source.
Official Dispatch 2308/NHNN-TD on VND 120 trillion credit program,State Bank of Vietnam,2023-04-01,Official central bank document page,https://sbv.gov.vn/vi/w/sbv577428,Tier 1,"Date, institution, policy name, credit program implementation",Official source.
Decision 338/QD-TTg on 1 million social housing apartments,Cong Bao / Prime Minister,2023-04-03,Official legal document,https://congbao.chinhphu.vn/thuoc-tinh-van-ban-so-338-qd-ttg-39173?cbid=44418,Tier 1,"Date, institution, policy name, social housing supply target",Official source.
Decree 10/2023/ND-CP amending land-law implementation decrees,Cong Bao / Government of Vietnam,2023-04-03,Official legal document,https://congbao.chinhphu.vn/tai-ve-van-ban-so-10-2023-nd-cp-39177-44423?format=pdf,Tier 1,"Date, institution, policy name, land administration relevance",Official source.
Housing Law 2023,Cong Bao / National Assembly,2023-11-27,Official legal document,https://congbao.chinhphu.vn/van-ban/luat-so-27-2023-qh15-40856/47842.htm,Tier 1,"Date, institution, policy name, housing policy framework",Official source.
