date,policy_area,policy_name,institution,summary,affected_market_lever,expected_direction,uncertainty_level,source_url,notes
2021-07-28,Infrastructure/public investment,Resolution 29/2021/QH15 on medium-term public investment plan 2021-2025,National Assembly,"Set the 2021-2025 public investment framework, reinforcing infrastructure as a location and demand driver for residential development.",Demand,Unlock,Medium,https://congbao.chinhphu.vn/van-ban/nghi-quyet-so-29-2021-qh15-34172/36574.htm,Official source; relevance is indirect through infrastructure-led urban development.
2022-01-11,Infrastructure/public investment,Resolution 43/2022/QH15 on fiscal and monetary support for recovery,National Assembly,"Approved recovery support policies, including public investment and credit-related measures that could affect construction activity and housing demand.",Mixed,Unlock,Medium,https://congbao.chinhphu.vn/van-ban/nghi-quyet-so-43-2022-qh15-36718.htm,Official source; real estate impact is indirect and depends on implementation.
2022-09-16,Corporate bond regulation,Decree 65/2022/ND-CP amending private corporate bond rules,Government of Vietnam,"Tightened private corporate bond issuance and trading requirements, increasing funding discipline and refinancing pressure for bond-dependent developers.",Capital,Drag,High,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-65-2022-nd-cp-37910.htm,Official source; high uncertainty because funding effects vary by developer balance sheet.
2022-11-17,Project legal bottleneck,Decision 1435/QD-TTg establishing Prime Minister working group for real estate project bottlenecks,Prime Minister,"Created a working group to review and guide resolution of difficulties in implementing real estate projects for localities and enterprises.",Legal process,Unlock,Medium,https://chinhphu.vn/?classid=0&docid=206882&pageid=27160,Official Government Portal source.
2023-03-05,Corporate bond regulation,Decree 08/2023/ND-CP amending and suspending selected corporate bond rules,Government of Vietnam,"Relaxed selected private bond rules and allowed negotiated settlement mechanisms, reducing near-term refinancing stress but preserving market scrutiny.",Capital,Mixed,High,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-08-2023-nd-cp-39077.htm,Official source.
2023-03-11,Project legal bottleneck,Resolution 33/NQ-CP on solutions for safe and sustainable real estate market development,Government of Vietnam,"Directed ministries and localities to remove legal bottlenecks, support credit access, and promote a healthier real estate market.",Mixed,Unlock,Medium,https://congbao.chinhphu.vn/detail/tai-ve?id=39101&slug=33-nq-cp,Official source.
2023-04-01,Social housing policy,Official Dispatch 2308/NHNN-TD guiding the VND 120 trillion social housing credit program,State Bank of Vietnam,"Guided commercial banks on implementing the credit program for social housing, worker housing, and apartment renovation projects under Resolution 33.",Capital,Unlock,Medium,https://sbv.gov.vn/vi/w/sbv577428,Official SBV source; implementation depends on eligible project lists and bank appraisal.
2023-04-03,Social housing policy,Decision 338/QD-TTg approving the 1 million social housing apartment program,Prime Minister,"Approved the program to develop at least 1 million social housing apartments for low-income earners and industrial park workers during 2021-2030.",Supply,Unlock,Medium,https://congbao.chinhphu.vn/thuoc-tinh-van-ban-so-338-qd-ttg-39173?cbid=44418,Official source.
2023-04-03,Land policy,Decree 10/2023/ND-CP amending decrees guiding the Land Law,Government of Vietnam,"Amended land-law implementation rules, including land administration procedures relevant to project legality and asset certification.",Legal process,Unlock,Medium,https://congbao.chinhphu.vn/tai-ve-van-ban-so-10-2023-nd-cp-39177-44423?format=pdf,Official source; specific project effects require legal review.
2023-11-27,Housing policy,Housing Law 2023,National Assembly,"Replaced the 2014 housing framework and reset rules affecting housing development, ownership, social housing, apartment management, and housing programs.",Mixed,Mixed,High,https://congbao.chinhphu.vn/van-ban/luat-so-27-2023-qh15-40856/47842.htm,Official source; high uncertainty until implementing guidance and local execution are assessed.
2023-11-28,Real estate business regulation,Real Estate Business Law 2023,National Assembly,"Updated rules for real estate business activities, market regulation, disclosures, and conditions for real estate transactions.",Market transparency,Mixed,High,https://congbao.chinhphu.vn/noi-dung-van-ban-so-29-2023-qh15-40868,Official source; market impact depends on implementation decrees and enforcement.
2024-01-18,Land policy,Land Law 2024,National Assembly,"Replaced the 2013 Land Law, reshaping land allocation, land pricing, compensation, land-use rights, and land administration for development projects.",Legal process,Mixed,High,https://congbao.chinhphu.vn/tai-ve-van-ban-so-31-2024-qh15-41329-49226?format=pdf,Official source; key uncertainty is implementation and local land-price application.
2024-01-18,Credit policy,Law on Credit Institutions 2024,National Assembly,"Updated the legal framework for credit institutions, affecting banking governance and credit discipline relevant to developer and homebuyer financing.",Capital,Mixed,Medium,https://congbao.chinhphu.vn/van-ban/luat-so-32-2024-qh15-41339/49230.htm,Official source; real estate impact is indirect through credit allocation and risk management.
2024-06-29,Other,"Law 43/2024/QH15 amending effective dates of Land Law, Housing Law, Real Estate Business Law, and Credit Institutions Law",National Assembly,"Accelerated the effective date of major real estate-related laws to support faster policy implementation and market resolution.",Legal process,Unlock,Medium,https://congbao.chinhphu.vn/van-ban/43-2024-qh15-42578.htm,Official source.
2024-07-24,Market transparency,Decree 94/2024/ND-CP on housing and real estate market information database,Government of Vietnam,"Detailed the construction and management of housing and real estate market information systems and databases.",Market transparency,Unlock,Medium,https://congbao.chinhphu.vn/noi-dung-van-ban-so-94-2024-nd-cp-42447,Official source; transparency benefits depend on data quality and reporting compliance.
2024-07-24,Housing policy,Decree 95/2024/ND-CP detailing selected articles of the Housing Law,Government of Vietnam,"Provided implementing guidance for the Housing Law, reducing ambiguity around housing administration and ownership-related procedures.",Legal process,Unlock,Medium,https://congbao.chinhphu.vn/noi-dung-van-ban-so-95-2024-nd-cp-42427?cbid=51152,Official source.
2024-07-24,Real estate business regulation,Decree 96/2024/ND-CP detailing selected articles of the Real Estate Business Law,Government of Vietnam,"Provided implementing guidance for real estate business rules, including requirements relevant to project sales and market conduct.",Market transparency,Mixed,Medium,https://congbao.chinhphu.vn/so-do-van-ban-so-96-2024-nd-cp-42491?cbid=51295,Official source.
2024-07-25,Housing policy,Decree 98/2024/ND-CP on renovation and reconstruction of apartment buildings,Government of Vietnam,"Detailed mechanisms for apartment renovation and reconstruction, potentially unlocking redevelopment supply in urban areas.",Supply,Unlock,Medium,https://congbao.chinhphu.vn/so-do-van-ban-so-98-2024-nd-cp-42422?cbid=51144,Official source.
2024-07-26,Social housing policy,Decree 100/2024/ND-CP on development and management of social housing,Government of Vietnam,"Detailed social housing development and management rules, supporting the policy push toward affordable and worker housing supply.",Supply,Unlock,Medium,https://congbao.chinhphu.vn/noi-dung-van-ban-so-100-2024-nd-cp-42431,Official source.
2024-07-30,Land policy,Decree 102/2024/ND-CP detailing implementation of the Land Law,Government of Vietnam,"Provided detailed implementation rules for the Land Law, affecting land allocation, conversion, registration, and administrative execution.",Legal process,Mixed,High,https://congbao.chinhphu.vn/van-ban/102-2024-nd-cp-42485.htm,Official source; high uncertainty because local execution can materially affect project timelines.
2024-11-26,Infrastructure/public investment,Law on Urban and Rural Planning 2024,National Assembly,"Established a planning framework for urban and rural areas, relevant to long-term land use, project pipeline visibility, and infrastructure-led development.",Legal process,Mixed,Medium,https://congbao.chinhphu.vn/van-ban/luat-so-47-2024-qh15-43579/53724.htm,Official source; effects depend on subordinate guidance and local planning quality.
2024-11-30,Land policy,Resolution 171/2024/QH15 on pilot commercial housing projects through land-use-right agreements,National Assembly,"Piloted commercial housing project implementation through agreements to receive or use existing land-use rights, potentially widening legal pathways for land bank conversion.",Supply,Unlock,High,https://congbao.chinhphu.vn/so-do-van-ban-so-171-2024-qh15-43485?cbid=53401,Official source; high uncertainty because project eligibility and provincial implementation matter.
2024-11-30,Project legal bottleneck,"Resolution 170/2024/QH15 on special mechanisms for stuck land and project cases in HCMC, Da Nang, and Khanh Hoa",National Assembly,"Created special mechanisms to address land and project difficulties linked to inspection, audit, and court conclusions in selected localities.",Legal process,Unlock,High,https://congbao.chinhphu.vn/thuoc-tinh-van-ban-so-170-2024-qh15-44197?cbid=54921,Official source; geographically targeted and execution-sensitive.
2025-04-01,Land policy,Decree 75/2025/ND-CP detailing Resolution 171/2024/QH15,Government of Vietnam,"Provided implementation rules for the pilot commercial housing pathway using land-use-right agreements or existing land-use rights.",Supply,Unlock,Medium,https://congbao.chinhphu.vn/tai-ve-van-ban-so-75-2025-nd-cp-44654-55859?format=pdf,Official source.
2025-05-29,Social housing policy,Resolution 201/2025/QH15 on special mechanisms for social housing development,National Assembly,"Piloted special mechanisms and policies to accelerate social housing development.",Supply,Unlock,Medium,https://congbao.chinhphu.vn/noi-dung-van-ban-so-201-2025-qh15-44979,Official source.
2025-11-19,Social housing policy,Decree 302/2025/ND-CP on the National Housing Fund and implementation of Resolution 201/2025/QH15,Government of Vietnam,"Detailed the National Housing Fund and measures to implement special social housing development mechanisms.",Capital,Unlock,Medium,https://congbao.chinhphu.vn/thuoc-tinh-van-ban-so-302-2025-nd-cp-46644?cbid=59870,Official source.
2025-12-31,Market transparency,Decree 357/2025/ND-CP on housing and real estate market information database,Government of Vietnam,"Updated rules on building and managing housing and real estate market information databases, effective in early 2026.",Market transparency,Unlock,Medium,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-357-2025-nd-cp-468566/61205.htm,Official source; dated 2025 but effective 2026.
